"type","abstract","AB","title","author","doi","journal","link","M1","M2","tow","note","year","url","vol","access","endref","cond","nber_is_published","nber_in_ssrn"
"JOUR","We consider an environment in which there is substantial uncertainty about the potential adverse external effects of AI algorithms. We find that subjecting algorithm implementation to regulatory approval or mandating testing is insufficient to implement the social optimum. When testing costs are low, a combination of mandatory testing for external effects and making developers liable for the adverse external effects of their algorithms comes close to implementing the social optimum even when developers have limited liability.","B","regulating artificial intelligence","teles, pedro","10.3386/w31921","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31921.pdf",NA,NA,NA,"Author contact info: Joao Guerreiro Department of Economics University of California Los Angeles Los Angeles, CA Tel: 8477307182 E-Mail: jguerreiro@econ.ucla.edu  Sergio Rebelo Northwestern University Kellogg School of Management Department of Finance Leverone Hall Evanston, IL  60208-2001 Tel: 847/467-2329 Fax: 847/491-5719 E-Mail: s-rebelo@northwestern.edu  Pedro Teles Banco de Portugal R. Francisco Ribeiro 2 1150 Lisboa Portugal E-Mail: pteles@ucp.pt",2023,"http://www.nber.org/papers/w31921","No. 31921","Nov-23",NA,TRUE,FALSE,FALSE
"JOUR","Efforts to document long-term trends in socioeconomic mobility in the United States have been hindered by the lack of large, representative datasets that include information linking parents to their adult children. This problem has been especially acute for women, who are more difficult to link because their surnames often change between childhood and adulthood. In this paper, we use a new dataset, the Census Tree, that overcomes these issues by building on information from an online genealogy platform. Users of the platform have private information that allows them to create links among the 1850 to 1940 decennial censuses; the Census Tree combines these links with others obtained using machine learning and traditional linking methods to produce a dataset with hundreds of millions of census-to-census links, nearly half of which are for women. With these data, we produce estimates of the intergenerational transmission of socioeconomic status from fathers to their sons and daughters. We find that for married men and women, the patterns of mobility over this period are remarkably similar. Single women, however, are less mobile than their male counterparts. We also present new estimates that show that assortative mating was much stronger than previously estimated for the US.","B","family trees and falling apples: historical intergenerational mobility estimates for women and men","wilbert, haley e.b.","10.3386/w31918","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31918.pdf",NA,NA,NA,"Author contact info: Kasey Buckles University of Notre Dame Department of Economics 3052 Jenkins-Nanovic Halls Notre Dame, IN 46556 E-Mail: kbuckles@nd.edu  Joseph Price Department of Economics Brigham Young University 2129 WVB Provo, UT 84602 Tel: 801/422-5296 Fax: 801/422-0194 E-Mail: joseph_price@byu.edu  Zachary Ward Department of Economics Baylor University One Bear Place Waco, TX 76798 E-Mail: zach.a.ward@gmail.com  Haley E.B. Wilbert University of Notre Dame  Department of Economics  3052 Jenkins-Nanovic Halls  Notre Dame, IN 46556 E-Mail: hwilbert@nd.edu",2023,"http://www.nber.org/papers/w31918","No. 31918","Nov-23",NA,TRUE,FALSE,FALSE
"JOUR","We study the effects of job-protected leave policies on intergenerational mobility, long-run child outcomes, and parental decisions (labor market, investments in children, and fertility). We merge rich sources of historical information on family leave policies across the United States since 1973 with over 40 years of survey data covering two generations of individuals. Exploiting variation in the timing of job-protected leave policies introduced in a large set of 18 states and the District of Columbia before the enactment of the Family and Medical Leave Act (FMLA) in 1993, we find that the pre-FMLA protected leave policies had a level effect and a mobility effect. The level effect yields from overall improvements in education and wages for the children born under these policies. The mobility effect, chiefly an increase in intergenerational mobility in education, stems from heterogeneity in the effects of the policies: children of mothers with fewer years of education benefit more. As a potential mechanism, we find that the policies increased mothers’ time investments in children and the likelihood of the households having childcare expenses. Finally, consistent with the tradeoffs of policy design, we find that the policies exacerbated the motherhood penalty in labor market outcomes and that they affected fertility choices, increasing the likelihood of having a first child and decreasing the likelihood of having subsequent children.","B","the intergenerational effects of parental leave: exploiting forty years of u.s. policy variation","hincapié, andrés","10.3386/w31911","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31911.pdf",NA,NA,"presented at ""Labor Studies Program Meeting"", November 10, 2023","Author contact info: Andrea M. Flores E-Mail: andrea.flores@fgv.br  George-Levi Gayle Department of Economics Washington University in St. Louis Campus Box 1208 One Brookings Drive St. Louis, MO 63130 Tel: 314/935-7472 E-Mail: ggayle@wustl.edu  Andrés Hincapié Department of Economics University of North Carolina at Chapel Hill CB # 3305 Gardner Hall Chapel Hill, NC 27599 E-Mail: andres.hincapie@unc.edu",2023,"http://www.nber.org/papers/w31911","No. 31911","Nov-23",NA,TRUE,FALSE,FALSE
"JOUR","We build a model of online behavioral manipulation driven by AI advances. A platform dynamically offers one of n products to a user who slowly learns product quality. User learning depends on a product’s “glossiness,’ which captures attributes that make products appear more attractive than they are. AI tools enable platforms to learn glossiness and engage in behavioral manipulation. We establish that AI benefits consumers when glossiness is short-lived. In contrast, when glossiness is long-lived, users suffer because of behavioral manipulation. Finally, as the number of products increases, the platform can intensify behavioral manipulation by presenting more low-quality, glossy products.","A","a model of behavioral manipulation","ozdaglar, asuman","10.3386/w31872","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31872.pdf",NA,NA,NA,"Author contact info: Daron Acemoglu Department of Economics, E52-446 Massachusetts Institute of Technology 77 Massachusetts Avenue Cambridge, MA 02139 Tel: 617/253-1927 Fax: 617/253-1330 E-Mail: daron@mit.edu  Ali Makhdoumi Duke University 100 Fuqua Drive  Durham, NC 27708 United States E-Mail: ali.makhdoumi@duke.edu  Azarakhsh Malekian Rotman School of Management  University of Toronto  E-Mail: azarakhsh.malekian@rotman.utoronto.ca  Asuman Ozdaglar Department of Electrical Engineering   and Computer Science Massachusetts Institute of Technology 77 Massachusetts Ave, E40-130 Cambridge, MA 02139 E-Mail: asuman@mit.edu",2023,"http://www.nber.org/papers/w31872","No. 31872","Nov-23",NA,TRUE,FALSE,FALSE
"JOUR","We develop measures of labor-saving and labor-augmenting technology exposure using textual analysis of patents and job tasks. Using US administrative data, we show that both measures negatively predict earnings growth of individual incumbent workers. While labor-saving technologies predict earnings declines and higher likelihood of job loss for all workers, labor-augmenting technologies primarily predict losses for older or highly-paid workers. However, we find positive effects of labor-augmenting technologies on occupation-level employment and wage bills. A model featuring labor-saving and labor-augmenting technologies with vintage-specific human capital quantitatively matches these patterns. We extend our analysis to predict the effect of AI on earnings.","A","technology and labor displacement: evidence from linking patents with worker-level data","seegmiller, bryan","10.3386/w31846","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31846.pdf",NA,NA,"presented at ""Productivity, Innovation, and Entrepreneurship Program Meeting"", April 26, 2024","Author contact info: Leonid Kogan MIT Sloan School of Management 100 Main Street, E62-636 Cambridge, MA  02142 Tel: 617/504-9728 Fax: 617/258-6855 E-Mail: lkogan@mit.edu  Dimitris Papanikolaou Kellogg School of Management Northwestern University 2211 Campus Drive, Office 4319 Evanston, IL 60208 Tel: 847/491-7704 E-Mail: d-papanikolaou@kellogg.northwestern.edu  Lawrence D.W. Schmidt Sloan School of Management Massachusetts Institute of Technology 100 Main Street Cambridge, MA E-Mail: ldws@mit.edu  Bryan Seegmiller Northwestern University Kellogg School of Management E-Mail: bryan.seegmiller@kellogg.northwestern.edu",2023,"http://www.nber.org/papers/w31846","No. 31846","Nov-23",NA,TRUE,FALSE,FALSE
"JOUR","Industrialized countries have long seen relatively stable growth in output per capita and a stable labor share. AI may be transformative, in the sense that it may break one or both of these stylized facts. This review outlines the ways this may happen by placing several strands of the literature on AI and growth within a common framework. We first evaluate models in which AI increases output production, for example via increases in capital's substitutability for labor or task automation, capturing the notion that AI will let capital “self-replicate”. This typically speeds up growth and lowers the labor share. We then consider models in which AI increases knowledge production, capturing the notion that AI will let capital “self-improve”, speeding growth further. Taken as a whole, the literature suggests that sufficiently advanced AI is likely to deliver both effects.","A","economic growth under transformative ai","korinek, anton","10.3386/w31815","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31815.pdf",NA,NA,NA,"Author contact info: Philip Trammell Department of Economics University of Oxford 10 Manor Rd Oxford, Oxfordshire United Kingdom E-Mail: pawtrammell@gmail.com  Anton Korinek Department of Economics University of Virginia Monroe Hall 246 248 McCormick Rd Charlottesville, VA 22904 E-Mail: anton@korinek.com",2023,"http://www.nber.org/papers/w31815","No. 31815","Oct-23",NA,TRUE,FALSE,FALSE
"JOUR","Motivated by a recent literature on the double-descent phenomenon in machine learning, we consider highly over-parameterized models in causal inference, including synthetic control with many control units. In such models, there may be so many free parameters that the model fits the training data perfectly. We first investigate high-dimensional linear regression for imputing wage data and estimating average treatment effects, where we find that models with many more covariates than sample size can outperform simple ones. We then document the performance of high-dimensional synthetic control estimators with many control units. We find that adding control units can help improve imputation performance even beyond the point where the pre-treatment fit is perfect. We provide a unified theoretical perspective on the performance of these high-dimensional models. Specifically, we show that more complex models can be interpreted as model-averaging estimators over simpler ones, which we link to an improvement in average performance. This perspective yields concrete insights into the use of synthetic control when control units are many relative to the number of pre-treatment periods.","B","double and single descent in causal inference with an application to high-dimensional synthetic control","venugopal, amar","10.3386/w31802","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31802.pdf",NA,NA,NA,"Author contact info: Jann Spiess Stanford Graduate School of Business 655 Knight Way Stanford, CA 94305 United States Tel: 8572849880 E-Mail: jspiess@stanford.edu  Guido Imbens Graduate School of Business Stanford University 655 Knight Way Stanford, CA 94305 E-Mail: Imbens@stanford.edu  Amar Venugopal E-Mail: amarvenu@stanford.edu",2023,"http://www.nber.org/papers/w31802","No. 31802","Oct-23",NA,TRUE,FALSE,FALSE
"JOUR","We study the early adoption and diffusion of five AI-related technologies (automated-guided vehicles, machine learning, machine vision, natural language processing, and voice recognition) as documented in the 2018 Annual Business Survey of 850,000 firms across the United States. We find that fewer than 6% of firms used any of the AI-related technologies we measure, though most very large firms reported at least some AI use. Weighted by employment, average adoption was just over 18%. AI use in production, while varying considerably by industry, nevertheless was found in every sector of the economy and clustered with emerging technologies such as cloud computing and robotics. Among dynamic young firms, AI use was highest alongside more-educated, more-experienced, and younger owners, including owners motivated by bringing new ideas to market or helping the community. AI adoption was also more common alongside indicators of high-growth entrepreneurship, including venture capital funding, recent product and process innovation, and growth-oriented business strategies. Early adoption was far from evenly distributed: a handful of “superstar” cities and emerging hubs led startups’ adoption of AI. These patterns of early AI use foreshadow economic and social impacts far beyond this limited initial diffusion, with the possibility of a growing “AI divide” if early patterns persist.","A","ai adoption in america: who, what, and where","zolas, nikolas","10.3386/w31788","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31788.pdf",NA,NA,NA,"Author contact info: Kristina McElheran University of Toronto Scarborough 105 St. George Street Toronto, ON M5S 3E6 E-Mail: k.mcelheran@utoronto.ca  J. Frank Li Tel: 7343581363 E-Mail: jfrankliwork@gmail.com  Erik Brynjolfsson Stanford Digital Economy Laboratory 353 Jane Stanford Way, Office 136 Stanford, CA 94305 E-Mail: erik.brynjolfsson@gmail.com  Zachary Kroff Center for Economic Studies U.S. Census Bureau 4600 Silver Hill Road  Washington, DC 20233 United States Tel: 301-763-2199 E-Mail: zachary.kroff@census.gov  Emin Dinlersoz E-Mail: emin.m.dinlersoz@census.gov  Lucia S. Foster US Bureau of the Census Washington, DC 20233 E-Mail: lucia.s.foster@census.gov  Nikolas Zolas Center for Economic Studies U.S. Census Bureau 4600 Silver Hill Road Washington, DC 20233 E-Mail: nick.zolas@gmail.com",2023,"http://www.nber.org/papers/w31788","No. 31788","Oct-23",NA,TRUE,FALSE,FALSE
"JOUR","We ask whether a technical objective of using human performance of tasks as a benchmark for AI performance will result in the negative outcomes highlighted in prior work in terms of jobs and inequality. Instead, we argue that task automation, especially when driven by AI advances, can enhance job prospects and potentially widen the scope for employment of many workers. The neglected mechanism we highlight is the potential for changes in the skill premium where AI automation of tasks exogenously improves the value of the skills of many workers, expands the pool of available workers to perform other tasks, and, in the process, increases labor income and potentially reduces inequality. We label this possibility the “Turing Transformation.” As such, we argue that AI researchers and policymakers should not focus on the technical aspects of AI applications and whether they are directed at automating human-performed tasks or not and, instead, focus on the outcomes of AI research. In so doing, our goal is not to diminish human-centric AI research as a laudable goal. Instead, we want to note that AI research that uses a human-task template with a goal to automate that task can often augment human performance of other tasks and whole jobs. The distributional effects of technology depend more on which workers have tasks that get automated than on the fact of automation per se.","B","the turing transformation: artificial intelligence, intelligence augmentation, and skill premiums","goldfarb, avi","10.3386/w31767","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31767.pdf",NA,NA,NA,"Author contact info: Ajay K. Agrawal Rotman School of Management University of Toronto 105 St. George Street Toronto, ON M5S 3E6 Tel: 416/946-0203 Fax: 416/978-5433 E-Mail: ajay.agrawal@rotman.utoronto.ca  Joshua S. Gans Rotman School of Management University of Toronto 105 St. George Street Toronto ON M5S 3E6 Tel: 416/978-3243 E-Mail: joshua.gans@rotman.utoronto.ca  Avi Goldfarb Rotman School of Management University of Toronto 105 St. George Street Toronto, ON M5S 3E6 Tel: 416/946-8604 Fax: 416/978-5433 E-Mail: agoldfarb@rotman.utoronto.ca",2023,"http://www.nber.org/papers/w31767","No. 31767","Oct-23",NA,TRUE,FALSE,FALSE
"JOUR","Do non-traditional digital trace data and traditional survey data yield similar estimates of the impact of a cash transfer program? In a randomized controlled trial of Togo’s COVID-19 Novissi program, endline survey data indicate positive treatment effects on beneficiary food security, mental health, and self-perceived economic status. However, impact estimates based on mobile phone data – processed with machine learning to predict beneficiary welfare – do not yield similar results, even though related data and methods do accurately predict wealth and consumption in prior cross-sectional analysis in Togo. This limitation likely arises from the underlying difficulty of using mobile phone data to predict short-term changes in wellbeing within a rural population with fairly homogeneous baseline levels of poverty. We discuss the implications of these results for using new digital data sources in impact evaluation.","B","estimating impact with surveys versus digital traces: evidence from randomized cash transfers in togo","udry, christopher r","10.3386/w31751","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31751.pdf",NA,NA,NA,"Author contact info: Emily Aiken 102 South Hall University of California, Berkeley Berkeley, CA 94720 USA E-Mail: emilyaiken@berkeley.edu  Suzanne Bellue E-Mail: suzanne.bellue@ensae.fr  Joshua Blumenstock School of Information 102 South Hall University of California, Berkeley E-Mail: jblumenstock@berkeley.edu  Dean Karlan Kellogg Global Hub Northwestern University 2211 Campus Drive Evanston, IL 60208 Tel: 847/491-8706 E-Mail: dean.karlan@gmail.com  Christopher R. Udry Northwestern University Department of Economics Weinberg College of Arts and Sciences 2211 Campus Drive #3247 Evanston, IL 60208 Tel: 203/432-3637 E-Mail: christopher.udry@northwestern.edu",2023,"http://www.nber.org/papers/w31751","No. 31751","Oct-23",NA,TRUE,FALSE,FALSE
"JOUR","We theoretically characterize the behavior of machine learning asset pricing models. We prove that expected out-of-sample model performance—in terms of SDF Sharpe ratio and test asset pricing errors—is improving in model parameterization (or “complexity”). Our empirical findings verify the theoretically predicted “virtue of complexity” in the cross-section of stock returns. Models with an extremely large number of factors (more than the number of training observations or base assets) outperform simpler alternatives by a large margin.","B","complexity in factor pricing models","malamud, semyon","10.3386/w31689","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31689.pdf",NA,NA,NA,"Author contact info: Antoine Didisheim Extranef 251 University of Lausanne Lausanne, Swit 1015 Switzerland E-Mail: antoine.didisheim@unil.ch  Shikun (Barry) Ke E-Mail: barry.ke@yale.edu  Bryan T. Kelly Yale School of Management 165 Whitney Ave. New Haven, CT 06511 Tel: 203-432-2221 E-Mail: bryan.kelly@yale.edu  Semyon Malamud Swiss Finance Institute @ EPFL Quartier UNIL-Dorigny, Extranef 213 CH - 1015 Lausanne Switzerland E-Mail: semyon.malamud@epfl.ch",2023,"http://www.nber.org/papers/w31689","No. 31689","Sep-23",NA,TRUE,FALSE,FALSE
"JOUR","We investigate the potential for Large Language Models (LLMs) to enhance scientific practice within experimentation by identifying key areas, directions, and implications. First, we discuss how these models can improve experimental design, including improving the elicitation wording, coding experiments, and producing documentation. Second, we delve into the use of LLMs in experiment implementation, with an emphasis on bolstering causal inference through creating consistent experiences, improving instruction comprehension, and real-time monitoring of participant engagement. Third, we underscore the role of LLMs in analyzing experimental data, encompassing tasks like pre-processing, data cleaning, and assisting reviewers and replicators in examining studies. Each of these tasks improves the probability of reporting accurate findings. Lastly, we suggest a scientific governance framework that mitigates the potential risks of using LLMs in experimental research while amplifying their advantages. This could pave the way for open science opportunities and foster a culture of policy and industry experimentation at scale.","B","generation next: experimentation with ai","list, john a","10.3386/w31679","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31679.pdf",NA,NA,NA,"Author contact info: Gary Charness UC, Santa Barbara E-Mail: charness@econ.ucsb.edu  Brian Jabarian The University of Chicago Booth School of Business 5807 S. Woodlawn Chicago, IL 60637 Tel: +13127022101 E-Mail: jabarian@uchicago.edu  John A. List Department of Economics University of Chicago 1126 East 59th Chicago, IL 60637 Tel: 301/405-1288 Fax: 301/314-9091 E-Mail: jlist@uchicago.edu",2023,"http://www.nber.org/papers/w31679","No. 31679","Sep-23",NA,TRUE,FALSE,FALSE
"JOUR","We document three facts about the global diffusion of surveillance AI technology, and in particular, the role played by China. First, China has a comparative advantage in this technology. It is substantially more likely to export surveillance AI than other countries, and particularly so as compared to other frontier technologies. Second, autocracies and weak democracies are more likely to import surveillance AI from China. This bias is not observed in AI imports from the US or in imports of other frontier technologies from China. Third, autocracies and weak democracies are especially more likely to import China’s surveillance AI in years of domestic unrest. Such imports coincide with declines in domestic institutional quality more broadly. To the extent that China may be exporting its surveillance state via trade in AI, this can enhance and beget more autocracies abroad. This possibility challenges the view that economic integration is necessarily associated with the diffusion of liberal institutions.","A","exporting the surveillance state via trade in ai","yuchtman, noam","10.3386/w31676","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31676.pdf",NA,NA,"presented at ""SI 2023 Digital Economics and Artificial Intelligence"", July 19-21, 2023","Author contact info: Martin Beraja Department of Economics, E52-504 MIT 77 Massachusetts Avenue Cambridge, MA 02139 Tel: 617/258-6022 E-Mail: martinberaja@gmail.com  Andrew Kao 1805 Cambridge Street Cambridge, MA 02138 USA E-Mail: andrewkao@fas.harvard.edu  David Y. Yang Department of Economics Harvard University Littauer Center M-31 Cambridge, MA 02138 E-Mail: davidyang@fas.harvard.edu  Noam Yuchtman University of Oxford  Department of Economics  Manor Rd Oxford OX1 3UQ  United Kingdom  E-Mail: noam.yuchtman@economics.ox.ac.uk",2023,"http://www.nber.org/papers/w31676","No. 31676","Sep-23",NA,TRUE,FALSE,FALSE
"JOUR","The Census Tree is the largest-ever database of record links among the historical U.S. censuses, with over 700 million links for people living in the United States between 1850 and 1940. These high-quality links allow researchers in the social sciences and other disciplines to construct a longitudinal dataset that is highly representative of the population. In this paper, we describe our process for creating the Census Tree, beginning with a collection of over 317 million links contributed by the users of a free online genealogy platform. We then use these links as training data for a machine learning algorithm to make new matches, and incorporate other recent efforts to link the historical U.S. censuses. Finally, we introduce a procedure for filtering the links and adjudicating disagreements. Our complete Census Tree achieves match rates between adjacent censuses that are between 69 and 86% for men, and between 58 and 79% for women. The Census Tree includes women and Black Americans at unprecedented rates, containing 314 million links for the former and more than 41 million for the latter.","B","breakthroughs in historical record linking using genealogy data: the census tree project","wilbert, haley e.b.","10.3386/w31671","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31671.pdf",NA,NA,NA,"Author contact info: Kasey Buckles University of Notre Dame Department of Economics 3052 Jenkins-Nanovic Halls Notre Dame, IN 46556 E-Mail: kbuckles@nd.edu  Adrian Haws Cornell University 434 Warren Hall Ithaca, NY 14853 E-Mail: aah226@cornell.edu  Joseph Price Department of Economics Brigham Young University 2129 WVB Provo, UT 84602 Tel: 801/422-5296 Fax: 801/422-0194 E-Mail: joseph_price@byu.edu  Haley E.B. Wilbert University of Notre Dame  Department of Economics  3052 Jenkins-Nanovic Halls  Notre Dame, IN 46556 E-Mail: hwilbert@nd.edu",2023,"http://www.nber.org/papers/w31671","No. 31671","Sep-23",NA,TRUE,FALSE,FALSE
"JOUR","Digital technology is reshaping workplaces by enabling spatial separation of offices, known as telework, or remote intelligence (RI), and by facilitating automation of service sector tasks via artificial intelligence (AI). This paper is a first attempt to empirically investigate whether AI and RI are complements or substitutes in the service sector. It uses a worker-level panel of surveys collected from around 10,000 workers from pre-COVID-19 pandemic to late 2022, we find preliminary evidence that suggests that AI and RI are complements rather than substitutes. The evidence comes first from the positive correlation of investments in AI-promoting and RI-promoting software at the firm and worker level, and second from the positive correlation of workers' expectations regarding telework and software automation. The evidence is far from definitive but suggests that the complement-substitution question is a fruitful line for future research.","A","are software automation and teleworkers substitutes? preliminary evidence from japan","okubo, toshihiro","10.3386/w31627","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31627.pdf",NA,NA,NA,"Author contact info: Richard Baldwin International Institute for Management Development Ch. de Bellerive 23 CH-1001, Lausanne Switzerland Tel: 41-21-618-0111 E-Mail: richard.baldwin@imd.org  Toshihiro Okubo Keio University 2-15-45 Mita Minato-ku Tokyo Japan E-Mail: okubo@econ.keio.ac.jp",2023,"http://www.nber.org/papers/w31627","No. 31627","Aug-23",NA,TRUE,FALSE,FALSE
"JOUR","Not all firms have equal capacity to absorb productive credit. Identifying those with higher potential may have large consequences for productivity. We collect detailed survey data on small- and medium-sized Tanzanian firms who borrow from a large commercial bank, which in turn raises funds via international capital markets. Using machine learning methods to identify predictors of loan growth, we document, first, that we achieve high rates of predictive power. Second, “soft” information (entrepreneurs’ motivations for entrepreneurship and constraints faced) has predictive power over and above administrative data (sector, age, etc.). Third, there is a different and larger set of predictors for women than men, consistent with greater barriers to efficient capital allocation among female entrepreneurs.","B","what predicts the growth of small firms? evidence from tanzanian commercial loan data","shaukat, sarah","10.3386/w31620","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31620.pdf",NA,NA,NA,"Author contact info: Mia Ellis IFPRI 1201 Eye Street Washington, DC 20005 E-Mail: m.ellis@cgiar.org  Cynthia Kinnan Department of Economics  Tufts University  177 College Ave #620 Medford, MA 02155 E-Mail: cynthia.kinnan@tufts.edu  Margaret S. McMillan Tufts University  Department of Economics  177 College Ave #669 Medford, MA 02155 E-Mail: margaret.mcmillan@tufts.edu  Sarah Shaukat Department of Economics and  Fletcher School  Tufts University  177 College Ave #652 Medford, MA 02155 E-Mail: sarah.shaukat@tufts.edu",2023,"http://www.nber.org/papers/w31620","No. 31620","Aug-23",NA,TRUE,FALSE,FALSE
"JOUR","Implementing a state-of-the-art machine learning technique for causal identification from text data (C-TEXT), we document that patents authored by female inventors are under-cited relative to those authored by males. Relative to what the same patent would be predicted to receive had the lead inventor instead been male, patents with a female lead inventor receive 10% fewer citations. Patents with male lead inventors tend to undercite past patents with female lead inventors, while patent examiners of both genders appear to be more even-handed in the citations they add to patent applications. For female inventors, market-based measures of patent value load significantly on the citation counts that would be predicted by C-TEXT, but do not load significantly on actual forward citations. The under-recognition of female-authored patents likely has implications for the allocation of talent in the economy.","B","inventor gender and patent undercitation: evidence from causal text estimation","sachdeva, kunal","10.3386/w31592","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31592.pdf",NA,NA,NA,"Author contact info: Yael Hochberg Jones Graduate School of Business Rice University 6100 Main Street, MS-531 McNair Hall Room 331 Houston, TX 77005 E-Mail: hochberg@rice.edu  Ali Kakhbod Haas School of Business University of California, Berkeley 2220 Piedmont Ave Berkeley, CA 94720 E-Mail: akakhbod@berkeley.edu  Peiyao Li 2220 Piedmont Ave Berkeley, CA 94720 United States E-Mail: ojhfklsjhl@berkeley.edu  Kunal Sachdeva University of Michigan 701 Tappan Ave Ross School of Business Ann Arbor, MI 48109 United States Tel: 9175140576 E-Mail: ksach@umich.edu",2023,"http://www.nber.org/papers/w31592","No. 31592","Aug-23",NA,TRUE,FALSE,FALSE
"JOUR","We propose a statistical model of heterogeneous beliefs where investors are represented as different machine learning model specifications. Investors form return forecasts from their individual models using common data inputs. We measure disagreement as forecast dispersion across investor-models (MFD). Our measure aligns with analyst forecast disagreement but more powerfully predicts returns. We document a large and robust association between belief disagreement and future returns. A decile spread portfolio that sells stocks with high disagreement and buys stocks with low disagreement earns a value-weighted return of 14% per year. Further analyses suggest MFD-alpha is mispricing induced by short-sale costs and limits-to-arbitrage.","B","machine forecast disagreement","rahman, jamil","10.3386/w31583","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31583.pdf",NA,NA,NA,"Author contact info: Turan G. Bali McDonough School of Business Georgetown University Between 37th and O Streets Washington, DC 20057 Tel: (202) 687-5388 Fax: (202) 687-4031 E-Mail: turan.bali@georgetown.edu  Bryan T. Kelly Yale School of Management 165 Whitney Ave. New Haven, CT 06511 Tel: 203-432-2221 E-Mail: bryan.kelly@yale.edu  Mathis Mörke Unterer Graben 21 CH-9000 St. Gallen Switzerland E-Mail: mathis.moerke@unisg.ch  Jamil Rahman E-Mail: jamil.rahman@yale.edu",2023,"http://www.nber.org/papers/w31583","No. 31583","Aug-23",NA,TRUE,FALSE,FALSE
"JOUR","We model a key step in the innovation process, hypothesis generation, as the making of predictions over a vast combinatorial space. Traditionally, scientists and innovators use theory or intuition to guide their search. Increasingly, however, they use artificial intelligence (AI) instead. We model innovation as resulting from sequential search over a combinatorial design space, where the prioritization of costly tests is achieved using a predictive model. We represent the ranked output of the predictive model in the form of a hazard function. We then use discrete survival analysis to obtain the main innovation outcomes of interest – the probability of innovation, expected search duration, and expected profit. We describe conditions under which shifting from the traditional method of hypothesis generation, using theory or intuition, to instead using AI that generates higher fidelity predictions, results in a higher likelihood of successful innovation, shorter search durations, and higher expected profits. We then explore the complementarity between hypothesis generation and hypothesis testing; potential gains from AI may not be realized without significant investment in testing capacity. We discuss the policy implications.","A","artificial intelligence and scientific discovery: a model of prioritized search","oettl, alexander","10.3386/w31558","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w31558.pdf",NA,NA,NA,"Author contact info: Ajay K. Agrawal Rotman School of Management University of Toronto 105 St. George Street Toronto, ON M5S 3E6 Tel: 416/946-0203 Fax: 416/978-5433 E-Mail: ajay.agrawal@rotman.utoronto.ca  John McHale J.E. Cairnes School of Business and Economics University of Galway 49 Upper Newcastle Galway, H91 YK8V Ireland E-Mail: john.mchale@universityofgalway.ie  Alexander Oettl Scheller College of Business Georgia Institute of Technology 800 West Peachtree Street NW Atlanta, GA 30308 Tel: 404/385-4570 E-Mail: alexander.oettl@scheller.gatech.edu",2023,"http://www.nber.org/papers/w31558","No. 31558","Aug-23",NA,TRUE,FALSE,FALSE
